Material,Final Score
abaca,4.75
acetate,3.5
acrylic,1.5
alpaca,4.0
angora,3.25
apple leather,3.75
bamboo,3.75
bamboo viscose,1.0
banana,5.0
casein,1.75
cashmere,4.0
chemically recycled nylon,2.875
chemically recycled polyester,2.875
coconut choir,4.5
cork,5.0
cotton,1.375
cotton in conversion,4.0
cotton organic,4.25
cotton recycled,5.0
crab shell,4.75
crailar,4.0
elastane,1.0
elastothane,1.0
feather,4.0
feathers,4.0
grape leather,3.75
hemp,4.0
hemp organic,5.0
in conversion cotton,4.0
jute,5.0
kapok,4.5
leather,1.75
leather synthetic,1.0
lenzing,2.75
linen,4.0
linen organic,5.0
lyocell,4.75
mechanically recycled nylon,5.0
mechanically recycled polyester,5.0
modal,2.75
modal lenzing viscose,2.75
mohair,3.25
monocel,4.0
nettle,5.0
nylon,1.0
nylon recycled,2.875
orange fibre,4.0
organic cotton,4.25
organic hemp,5.0
organic linen,5.0
organic wool,3.75
pineapple leather,3.75
pla polylactide,3.625
polyacrylic,1.5
polyamide,1.0
polyester,1.5
polyester recycled,2.875
polyethylene,1.0
polytrimethylene,1.0
ramie,3.0
ramie,4.5
rayon,1.0
recycled cotton,5.0
recycled nylon,2.875
recycled polyester,2.875
recycled wool,5.0
rubber,3.5
silk,4.25
sisal,5.0
soy bean,3.75
spandex,1.0
spanish broom,5.0
synthetic leather,1.0
tencel,4.0
teraphtalate,1.0
viscose,2.125
wool,2.375
wool organic,3.75
wool recycled,5.0
